カテゴリ,質問番号,質問内容,回答欄,備考
実装状況の共有,1.1,現在実装済みの機能について理解できましたか？,,
実装状況の共有,1.2,Gemini OCR適合テスト結果について理解できましたか？,,
優先順位の確認,Q1-1,現在の技術（Gemini OCR）で実装可能な項目のうち、どの項目を優先的に実装すべきでしょうか？,,
優先順位の確認,Q1-1-1,参照書類との照合機能,,
優先順位の確認,Q1-1-2,記載位置の特定（左下・右下・表題欄など）,,
優先順位の確認,Q1-1-3,図面間整合チェック（平面図と立面図の高さ数値など）,,
優先順位の確認,Q1-1-4,年度切替時の誤記チェック（2025→2026の誤記検出）,,
優先順位の確認,Q1-1-5,全ページでの一致確認（図面種別など）,,
優先順位の確認,Q1-2,優先順位を付けるとしたら、どの順番になりますか？（1位、2位、3位...）,,
優先順位の確認,Q1-3,優先順位を決める基準は何ですか？（時間短縮効果、見落とし防止効果、運用頻度など）,,
運用上の課題,Q2-1,現在のチェック業務で、特に時間がかかっている項目はありますか？,,
運用上の課題,Q2-2,見落としが発生しやすい項目はありますか？,,
運用上の課題,Q2-3,チェック漏れが発生した場合、どのような影響がありますか？（例: 施工トラブル、コスト増、工期遅延など）,,
運用上の課題,Q2-4,現在のチェック業務の工数はどの程度ですか？（1件あたりの時間、担当者数など）,,
参照書類の管理,Q3-1,参照書類（契約書、標準仕様書、確認申請依頼書など）はどのように管理されていますか？,,
参照書類の管理,Q3-1-1,紙媒体,,
参照書類の管理,Q3-1-2,デジタル化（PDF、Word、Excelなど）,,
参照書類の管理,Q3-1-3,クラウドストレージ（Google Drive、Dropboxなど）,,
参照書類の管理,Q3-1-4,その他（具体的に）,,
参照書類の管理,Q3-2,参照書類との照合は、どのタイミングで実施していますか？,,
参照書類の管理,Q3-2-1,図面チェック時,,
参照書類の管理,Q3-2-2,契約時,,
参照書類の管理,Q3-2-3,確認申請時,,
参照書類の管理,Q3-2-4,その他（具体的に）,,
参照書類の管理,Q3-3,参照書類との照合を自動化できれば、どの程度の時間短縮が期待できますか？,,
追加チェック項目,Q4-1,現在のチェックリスト以外に、追加でチェックしたい項目はありますか？,,
追加チェック項目,Q4-2,その項目は、どのような技術で実装可能だと思いますか？,,
追加チェック項目,Q4-2-1,テキスト抽出（現在の技術で可能）,,
追加チェック項目,Q4-2-2,Vision AI（画像認識）が必要,,
追加チェック項目,Q4-2-3,CADデータ連携が必要,,
追加チェック項目,Q4-2-4,その他（具体的に）,,
追加チェック項目,Q4-3,追加項目の優先度はどの程度ですか？（高・中・低）,,
PoCの検討,Q5-1,Vision AIやCADデータ連携のPoCを実施する場合、どの項目から始めるのが効果的だと思われますか？,,
PoCの検討,Q5-1-1-Vision,商品ロゴの検出（Kurumu、ソラニワプラスワンなど）,,
PoCの検討,Q5-1-2-Vision,玄関向き（▲記号）の位置特定,,
PoCの検討,Q5-1-3-Vision,方位記号の有無・位置特定,,
PoCの検討,Q5-1-4-Vision,その他（具体的に）,,
PoCの検討,Q5-1-1-CAD,駐車スペースの干渉チェック,,
PoCの検討,Q5-1-2-CAD,敷地境界・壁面後退の数値検証,,
PoCの検討,Q5-1-3-CAD,方位・真北の角度判定,,
PoCの検討,Q5-1-4-CAD,モジュール整合の詳細チェック,,
PoCの検討,Q5-1-5-CAD,排水計画の幾何学的整合,,
PoCの検討,Q5-1-6-CAD,配置図・立面図の整合,,
PoCの検討,Q5-1-7-CAD,その他（具体的に）,,
PoCの検討,Q5-2,PoCを実施する場合、どの程度の期間・予算を想定していますか？,,
PoCの検討,Q5-3,PoCの成功基準は何ですか？（精度、処理速度、コストなど）,,
システム化の範囲,Q6-1,現在の技術（Gemini OCR）で実装可能な項目を精緻にシステム化することで、どの程度の効果が期待できますか？,,
システム化の範囲,Q6-2,PoCが必要な項目（Vision AI、CADデータ連携）を実装する場合、どの程度の効果が期待できますか？,,
システム化の範囲,Q6-3,システム化の範囲をどこまで拡大する予定ですか？,,
システム化の範囲,Q6-3-1,現在の技術で実装可能な項目のみ（参照書類照合、記載位置特定など）,,
システム化の範囲,Q6-3-2,Vision AIのPoCを実施し、成功すれば本格導入,,
システム化の範囲,Q6-3-3,CADデータ連携のPoCを実施し、成功すれば本格導入,,
システム化の範囲,Q6-3-4,両方のPoCを実施し、成功すれば本格導入,,
