カテゴリ,サブカテゴリ,質問番号,質問内容,選択肢,回答欄,備考
1. 業務・要件に関する質問,1.1 現状のチェック作業について,Q1-1,現在のチェック作業の工数はどの程度ですか？,"1件あたりのチェック時間: _____ 時間
1ヶ月あたりのチェック件数: _____ 件
チェック作業に従事している人数: _____ 人
チェック作業の年間コスト: _____ 万円",,
1. 業務・要件に関する質問,1.1 現状のチェック作業について,Q1-2,チェック作業のボトルネックは何ですか？,"チェック項目が多すぎて時間がかかる
チェック漏れが発生している
チェック基準が統一されていない
その他: _____",,
1. 業務・要件に関する質問,1.1 現状のチェック作業について,Q1-3,チェックリストの項目数はどの程度ですか？,"必須項目: _____ 項目
推奨項目: _____ 項目
参考項目: _____ 項目
合計: _____ 項目",,
1. 業務・要件に関する質問,1.1 現状のチェック作業について,Q1-4,チェックリストはどの程度更新されますか？,"月1回以上
四半期に1回程度
年に1回程度
ほとんど更新されない",,
1. 業務・要件に関する質問,1.2 図面の形式・品質について,Q2-1,提出される図面の形式は何ですか？（複数選択可）,"CADから直接出力されたPDF（ベクター形式）
スキャンされたPDF（画像形式）
手書き図面をスキャンしたもの
その他: _____",,
1. 業務・要件に関する質問,1.2 図面の形式・品質について,Q2-2,各形式の割合はどの程度ですか？,"CAD出力PDF: _____ %
スキャンPDF: _____ %
その他: _____ %",,
1. 業務・要件に関する質問,1.2 図面の形式・品質について,Q2-3,図面の品質（解像度、鮮明度）はどの程度ですか？,"非常に高品質（300dpi以上、文字が鮮明）
高品質（200-300dpi、文字が読める）
中品質（150-200dpi、一部読みにくい）
低品質（150dpi以下、読みにくい箇所が多い）",,
1. 業務・要件に関する質問,1.2 図面の形式・品質について,Q2-4,図面のサイズ（ページ数）はどの程度ですか？,"平均ページ数: _____ ページ
最小ページ数: _____ ページ
最大ページ数: _____ ページ",,
1. 業務・要件に関する質問,1.2 図面の形式・品質について,Q2-5,図面の文字は主に何語ですか？,"日本語のみ
日本語 + 英語
その他: _____",,
1. 業務・要件に関する質問,1.3 チェック項目の特性について,Q3-1,チェック項目のうち、テキスト検索で対応できるものはどの程度ですか？,"80%以上
50-80%
30-50%
30%未満",,
1. 業務・要件に関する質問,1.3 チェック項目の特性について,Q3-2,チェック項目のうち、図面の形状・配置を確認する必要があるものはありますか？,"はい（例: _____）
いいえ",,
1. 業務・要件に関する質問,1.3 チェック項目の特性について,Q3-3,チェック項目のうち、数値計算が必要なものはありますか？,"はい（例: _____）
いいえ",,
1. 業務・要件に関する質問,1.3 チェック項目の特性について,Q3-4,チェック項目のうち、複数図面を比較する必要があるものはありますか？,"はい（例: _____）
いいえ",,
1. 業務・要件に関する質問,1.4 期待する効果について,Q4-1,このシステムで実現したい最大の効果は何ですか？,"チェック作業時間の削減（目標: _____ %削減）
チェック漏れの防止（目標: _____ %削減）
チェック基準の標準化
その他: _____",,
1. 業務・要件に関する質問,1.4 期待する効果について,Q4-2,システムの精度（検出率・誤検知率）の目標は？,"検出率: _____ %以上
誤検知率: _____ %以下
許容できる誤検知の程度: _____",,
1. 業務・要件に関する質問,1.4 期待する効果について,Q4-3,システムの処理速度の目標は？,"1件あたり _____ 分以内
リアルタイム処理が必要
バッチ処理で問題ない",,
2. 技術的実現可能性に関する質問,2.1 OCR・テキスト抽出について,Q5-1,OCR機能は必須ですか？,"はい（スキャン図面が多いため）
いいえ（CAD出力PDFのみで良い）
将来的に必要",,
2. 技術的実現可能性に関する質問,2.1 OCR・テキスト抽出について,Q5-2,OCRの精度要件は？,"90%以上の精度が必要
70-90%の精度で良い
50-70%の精度でも良い（手動確認あり）",,
2. 技術的実現可能性に関する質問,2.1 OCR・テキスト抽出について,Q5-3,OCR処理のコスト許容範囲は？,"無料のオープンソース（Tesseract等）のみ
有料API（Google Cloud Vision等）も可（予算: _____ 円/月）
自社開発も検討",,
2. 技術的実現可能性に関する質問,2.1 OCR・テキスト抽出について,Q5-4,OCR処理の速度要件は？,"1ページあたり _____ 秒以内
リアルタイム処理が必要
バッチ処理で問題ない",,
2. 技術的実現可能性に関する質問,2.2 図面要素認識について,Q6-1,図面の線・記号・形状を認識する必要はありますか？,"はい（例: _____）
いいえ（テキストのみで良い）",,
2. 技術的実現可能性に関する質問,2.2 図面要素認識について,Q6-2,図面要素認識の精度要件は？,"高精度が必要（90%以上）
中精度で良い（70-90%）
低精度でも良い（50-70%）",,
2. 技術的実現可能性に関する質問,2.2 図面要素認識について,Q6-3,図面要素認識の実装方法の希望は？,"既存のライブラリ・APIを使用
自社開発（機械学習モデル）
外部ベンダーに委託",,
2. 技術的実現可能性に関する質問,2.3 チェックロジックの複雑度について,Q7-1,チェック項目の判定ロジックはどの程度複雑ですか？,"単純（キーワード検索、正規表現で対応可能）
中程度（数値計算、条件分岐が必要）
複雑（機械学習、高度な推論が必要）",,
2. 技術的実現可能性に関する質問,2.3 チェックロジックの複雑度について,Q7-2,チェック項目の判定に必要な情報は？,"テキストのみ
テキスト + 数値
テキスト + 図面要素（線、形状）
テキスト + 図面要素 + 外部データ",,
2. 技術的実現可能性に関する質問,2.3 チェックロジックの複雑度について,Q7-3,チェック項目の判定に過去データの学習は必要ですか？,"はい（過去のチェック結果から学習）
いいえ（ルールベースで対応）",,
